16:33:21.469 | T1 | SYSTEM | Inicio do log para o cenario 'Producer-Consumer'.
16:33:21.472 | T1 | ALGO   | Cenario iniciado: Producer-Consumer (1 produtor, 1 consumidor, buffer limitado)
16:33:21.473 | T1 | ALGO   | Recursos inicializados: bufferLimit=5, totalItems=10, emptySlots=5, filledSlots=0
16:33:21.473 | T1 | THREAD | [Main] A criar thread do produtor.
16:33:21.473 | T1 | THREAD | [Main] A criar thread do consumidor.
16:33:21.473 | T1 | THREAD | [Main] A iniciar thread do produtor.
16:33:21.474 | T1 | THREAD | [Main] A iniciar thread do consumidor.
16:33:21.474 | T4 | THREAD | [Produtor] Thread iniciada e pronta para produzir itens.
16:33:21.475 | T4 | SYNC   | [emptySlots] Produtor vai aguardar slot livre para item 1.
16:33:21.476 | T1 | THREAD | [Main] A aguardar conclusao da thread do produtor (Join).
16:33:21.476 | T4 | SYNC   | [emptySlots] Produtor obteve slot livre para item 1.
16:33:21.476 | T4 | SYNC   | [mutex] Produtor vai tentar entrar na secao critica para inserir item 1.
16:33:21.476 | T4 | SYNC   | [mutex] Produtor entrou na secao critica para inserir item 1.
16:33:21.476 | T5 | THREAD | [Consumidor] Thread iniciada e pronta para consumir itens.
16:33:21.476 | T5 | SYNC   | [filledSlots] Consumidor vai aguardar item disponivel (iteracao 1).
16:33:21.476 | T4 | BUFFER | [Buffer] Produtor inseriu item 1. Estado atual=1/5
16:33:21.476 | T4 | SYNC   | [mutex] Produtor saiu da secao critica apos inserir item 1.
16:33:21.476 | T4 | SYNC   | [filledSlots] Produtor sinalizou que existe novo item disponivel (item 1).
16:33:21.477 | T5 | SYNC   | [filledSlots] Consumidor recebeu sinal de item disponivel (iteracao 1).
16:33:21.477 | T5 | SYNC   | [mutex] Consumidor vai tentar entrar na secao critica para remover item (iteracao 1).
16:33:21.477 | T5 | SYNC   | [mutex] Consumidor entrou na secao critica para remover item (iteracao 1).
16:33:21.477 | T5 | BUFFER | [Buffer] Consumidor removeu item 1. Estado atual=0/5
16:33:21.477 | T5 | SYNC   | [mutex] Consumidor saiu da secao critica apos remover item 1.
16:33:21.477 | T5 | SYNC   | [emptySlots] Consumidor sinalizou slot livre apos consumir item 1.
16:33:21.685 | T4 | SYNC   | [emptySlots] Produtor vai aguardar slot livre para item 2.
16:33:21.685 | T4 | SYNC   | [emptySlots] Produtor obteve slot livre para item 2.
16:33:21.685 | T4 | SYNC   | [mutex] Produtor vai tentar entrar na secao critica para inserir item 2.
16:33:21.685 | T4 | SYNC   | [mutex] Produtor entrou na secao critica para inserir item 2.
16:33:21.686 | T4 | BUFFER | [Buffer] Produtor inseriu item 2. Estado atual=1/5
16:33:21.686 | T4 | SYNC   | [mutex] Produtor saiu da secao critica apos inserir item 2.
16:33:21.686 | T4 | SYNC   | [filledSlots] Produtor sinalizou que existe novo item disponivel (item 2).
16:33:21.791 | T5 | SYNC   | [filledSlots] Consumidor vai aguardar item disponivel (iteracao 2).
16:33:21.791 | T5 | SYNC   | [filledSlots] Consumidor recebeu sinal de item disponivel (iteracao 2).
16:33:21.791 | T5 | SYNC   | [mutex] Consumidor vai tentar entrar na secao critica para remover item (iteracao 2).
16:33:21.791 | T5 | SYNC   | [mutex] Consumidor entrou na secao critica para remover item (iteracao 2).
16:33:21.792 | T5 | BUFFER | [Buffer] Consumidor removeu item 2. Estado atual=0/5
16:33:21.792 | T5 | SYNC   | [mutex] Consumidor saiu da secao critica apos remover item 2.
16:33:21.792 | T5 | SYNC   | [emptySlots] Consumidor sinalizou slot livre apos consumir item 2.
16:33:21.900 | T4 | SYNC   | [emptySlots] Produtor vai aguardar slot livre para item 3.
16:33:21.900 | T4 | SYNC   | [emptySlots] Produtor obteve slot livre para item 3.
16:33:21.900 | T4 | SYNC   | [mutex] Produtor vai tentar entrar na secao critica para inserir item 3.
16:33:21.900 | T4 | SYNC   | [mutex] Produtor entrou na secao critica para inserir item 3.
16:33:21.901 | T4 | BUFFER | [Buffer] Produtor inseriu item 3. Estado atual=1/5
16:33:21.901 | T4 | SYNC   | [mutex] Produtor saiu da secao critica apos inserir item 3.
16:33:21.901 | T4 | SYNC   | [filledSlots] Produtor sinalizou que existe novo item disponivel (item 3).
16:33:22.101 | T5 | SYNC   | [filledSlots] Consumidor vai aguardar item disponivel (iteracao 3).
